brand,model,capacity_gb,offer_type,term_months,santander_price_value,competitor,competitor_price_value,difference_pct_signed_vs_santander,difference_pct_abs_vs_santander,santander_extracted_at,competitor_extracted_at,santander_source_url,competitor_source_url,santander_link_excel,competitor_link_excel,review_status,review_notes
Apple,Apple iPad Air M3 11 WiFi,256,cash,,779.0,Media Markt,405.0,-48.01,48.01,2026-02-24T08:36:15.123589+00:00,2026-02-23T14:14:18.370684+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MCA14TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-11-wifi-pantalla-liquid-retina-chip-m3-9gpu-1595978.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MCA14TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-11-wifi-pantalla-liquid-retina-chip-m3-9gpu-1595978.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,24,44.27,Media Markt,65.45,47.84,47.84,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Apple,Apple MacBook Pro 14 M5,1024,cash,,2079.0,Apple Oficial,1099.0,-47.14,47.14,2026-02-24T08:36:02.647150+00:00,2026-02-24T08:39:11.834301+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Pro-14%22-M5/p/MDE14Y_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-mac/macbook-pro,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Pro-14%22-M5/p/MDE14Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-mac/macbook-pro"",""Abrir Competidor"")",,
Apple,Apple iPad 11th WiFi,256,cash,,509.0,Media Markt,270.0,-46.95,46.95,2026-02-24T08:36:07.614174+00:00,2026-02-23T14:08:30.521133+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-11th-WiFi/p/MD4G4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-11agen-256gb-rosa-wifi-109-retina-chip-a16-bionic-ipados-18-cable-de-carga-usbc-sin-adaptador-de-corriente-1595900.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-11th-WiFi/p/MD4G4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-11agen-256gb-rosa-wifi-109-retina-chip-a16-bionic-ipados-18-cable-de-carga-usbc-sin-adaptador-de-corriente-1595900.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,30,41.55,Media Markt,61.01,46.84,46.84,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,12,91.58,Media Markt,133.5,45.77,45.77,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,18,57.4,Media Markt,83.47,45.42,45.42,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 13 WiFi,128,cash,,849.0,Media Markt,468.0,-44.88,44.88,2026-02-24T08:36:20.203040+00:00,2026-02-23T14:05:54.026418+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-13%22/p/MCNJ4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-13-wifi-pantalla-liquid-retina-chip-m3-9gpu-1596022.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-13%22/p/MCNJ4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-13-wifi-pantalla-liquid-retina-chip-m3-9gpu-1596022.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,30,38.15,Media Markt,54.7,43.38,43.38,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,12,84.08,Media Markt,119.68,42.34,42.34,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Apple,Apple iPad Pro M5 13 WiFi,256,financing_max_term,24,63.57,Apple Oficial,38.07,-40.11,40.11,2026-02-24T08:36:24.350246+00:00,2026-02-24T08:38:00.381040+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYJ4TY_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-ipad/ipad-pro,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYJ4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-ipad/ipad-pro"",""Abrir Competidor"")",,
Apple,Apple MacBook Pro 14 M5,512,cash,,1829.0,Apple Oficial,1099.0,-39.91,39.91,2026-02-24T08:36:00.765756+00:00,2026-02-24T08:39:07.398461+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Pro-14%22-M5/p/MDE04Y_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-mac/macbook-pro,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Pro-14%22-M5/p/MDE04Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-mac/macbook-pro"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,6,183.17,Media Markt,255.02,39.23,39.23,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 11 WiFi,128,financing_max_term,24,28.47,Media Markt,39.25,37.86,37.86,2026-02-24T08:36:14.851580+00:00,2026-02-23T14:13:55.024984+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 11 WiFi,128,cash,,649.0,Media Markt,405.0,-37.6,37.6,2026-02-24T08:36:14.851580+00:00,2026-02-23T14:13:55.024984+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html"",""Abrir Competidor"")",,
Apple,Apple iPad Pro M5 13 WiFi,512,financing_max_term,24,74.54,Apple Oficial,46.73,-37.31,37.31,2026-02-24T08:36:27.535682+00:00,2026-02-24T08:38:05.591994+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYL4TY_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-ipad/ipad-pro,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYL4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-ipad/ipad-pro"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,3,366.33,Media Markt,498.33,36.03,36.03,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,6,168.17,Media Markt,228.62,35.95,35.95,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 11 WiFi,128,financing_max_term,18,36.92,Media Markt,50.06,35.59,35.59,2026-02-24T08:36:14.851580+00:00,2026-02-23T14:13:55.024984+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html"",""Abrir Competidor"")",,
Apple,Apple MacBook Air 15 M4,512,cash,,1649.0,Apple Oficial,1099.0,-33.35,33.35,2026-02-24T08:35:47.961100+00:00,2026-02-24T08:38:52.901214+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-15%22-M4/p/MC7C4Y_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-mac/macbook-air,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-15%22-M4/p/MC7C4Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-mac/macbook-air"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,3,336.33,Media Markt,446.75,32.83,32.83,2026-02-25T15:47:35.997996+00:00,2026-02-25T16:07:23.352124+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-Z-Flip-7/p/SM-F766BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,cash,,1099.0,Samsung Oficial,1459.01,32.76,32.76,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:38:19.866653+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.samsung.com/es/smartphones/galaxy-s25-ultra/buy/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.samsung.com/es/smartphones/galaxy-s25-ultra/buy/"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 11 WiFi,128,financing_max_term,12,54.08,Media Markt,71.77,32.71,32.71,2026-02-24T08:36:14.851580+00:00,2026-02-23T14:13:55.024984+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-11%22/p/MC9W4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-128gb-blanco-estrella-11-wificell-pantalla-liquid-retina-chip-m3-9gpu-1595990.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,cash,,1099.0,Media Markt,1449.0,31.85,31.85,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Apple,Apple iPad Pro M5 13 WiFi,256,financing_max_term,24,63.57,Media Markt,83.08,30.69,30.69,2026-02-24T08:36:24.350246+00:00,2026-02-23T14:17:24.321304+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYJ4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_ipad-pro-13-wf-cl-256gb-slvr-isp-1608810.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Pro-WiFi-13/p/MDYJ4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_ipad-pro-13-wf-cl-256gb-slvr-isp-1608810.html"",""Abrir Competidor"")",,
